-25.6035, -57.7846, 35, 3.5
-26.5481, -59.6826, 136.5, 2.9
-71.5089, -65.3437, 10, 5.4
-26.394, -59.6644, 46.6, 4.5
-25.3142, -58.7173, 38.2, 4.1
-25.6864, -57.9297, 52.8, 4.3
-27.9154, -60.0032, 141.9, 3.8
147.8219, -57.3902, 10, 4.7
-160.5108, -63.1612, 10, 5.3
12.9763, -52.4599, 10, 4.3
-26.6056, -59.8116, 64.9, 4
-23.919, -58.8885, 8, 5.5
-25.9128, -59.4152, 35, 4.4
-26.3973, -60.0266, 59.2, 3.6
-23.809, -58.7883, 10, 4.5
-28.7839, -55.3696, 11, 5.8
-28.7751, -55.3138, 10, 4.8
-27.091, -56.862, 128.4, 3.5
-25.3381, -58.4984, 35, 3.9
-25.7549, -56.3188, 10, 4.5
-26.3878, -59.5982, 59.8, 4.2
-25.4771, -59.2502, 35, 4.5
-14.7376, -58.3399, 10, 4.1
9.4643, -53.2311, 10, 4.7
-25.0898, -57.2155, 10, 4.6
-23.035, -58.3474, 10, 4.1
-27.8924, -56.1207, 98.2, 4.2
-26.3091, -56.2952, 35, 3.6
-25.561, -58.4116, 71.5, 4.1
-25.5274, -58.3398, 31, 5.2
-23.7333, -59.1913, 10, 5
149.3198, -59.8803, 10, 4.1
-61.1769, -62.7474, 10, 4
-142.9303, -56.6309, 10, 5.4
165.3918, -69.7739, 14, 6.2
-29.744, -58.4591, 10, 5
-27.142, -56.261, 81.1, 3.5
-26.4765, -59.7016, 65, 3.5
-26.343, -59.6178, 40, 5.5
-25.5301, -58.0012, 66.3, 3.7
-26.2045, -59.7471, 37.7, 4.5
-27.467, -60.0209, 75.1, 3.6
-23.3404, -58.4263, 10, 3.9
-24.9167, -58.7315, 20, 6
-25.7858, -59.0811, 35, 4.1
-25.7219, -58.9875, 61.2, 3.9
145.7713, -54.139, 10, 5.3
-25.9874, -60.6099, 10, 5
-26.104, -59.7125, 35, 4
-23.9529, -57.7109, 10, 4.1
-130.7064, -54.6269, 10, 4.2
-27.0398, -59.9751, 58.2, 3.6
-25.6798, -58.9234, 52.4, 3.4
-24.9749, -58.5907, 10, 4.8
-28.1165, -55.8045, 73.9, 3.4
-26.0155, -57.41, 100.4, 4.2
-27.308, -56.0382, 113.6, 3.6
-23.4895, -58.2546, 10, 5.2
-25.2191, -57.7872, 35, 4.2
-25.6294, -58.0932, 69.2, 3.7
-26.3122, -59.0907, 93.8, 3.1
-25.4204, -58.095, 35, 4
-142.3429, -56.9443, 10, 5.3
-25.9444, -57.4772, 71.6, 3.6
-25.3688, -57.4739, 10, 4.7
-25.4127, -57.9548, 43.8, 3.8
-25.4741, -57.9973, 45.4, 5.4
-25.5114, -58.0554, 66, 3.6
-28.1365, -55.8582, 111.8, 3.6
-1.8131, -55.4201, 10, 4.2
-27.7965, -55.939, 61.8, 3.7
154.5792, -61.6873, 10, 4.7
-25.1284, -57.9427, 35.4, 4.1
-46.6073, -60.3154, 55, 4.1
-46.6583, -60.2854, 10, 5.1
153.8899, -61.1837, 10, 5.5
-25.62, -57.6497, 42.6, 3.3
-24.977, -58.144, 10.9, 4.3
-25.6262, -58.2256, 70.5, 3.5
-25.3492, -58.0796, 74.9, 3.3
-24.8702, -60.2183, 10, 4.5
-25.1521, -57.0699, 10, 5.4
-26.403, -57.3911, 144.7, 3.4
-45.3729, -56.3542, 10, 4.5
-26.3215, -59.6585, 35, 4
-25.9605, -57.21, 35, 3.1
-27.6218, -56.3268, 10, 5.1
177.7725, -56.4633, 10, 5.2
-25.3496, -58.7576, 31.6, 4.8
-126.8188, -54.8744, 10, 5.5
-25.4232, -57.0856, 35, 4.8
159.0545, -54.132, 10, 6.6
-30.7514, -61.5956, 193.2, 3
-25.2664, -58.0348, 23, 5.1
-24.1168, -59.6552, 10, 4
-25.8732, -57.6282, 53.3, 3.4
-26.7317, -56.9023, 99, 3.2
-32.4656, -55.344, 10, 4
-144.0316, -55.9982, 10, 5.2
-25.5791, -57.9176, 51.8, 4
-24.8434, -58.7124, 159.2, 3.7
-25.5884, -58.7733, 43.5, 5.1
-27.1882, -56.0731, 59.6, 3.9
148.6769, -57.7238, 10, 6.3
177.8433, -65.2144, 10, 5.2
139.3139, -50.5068, 10, 4.6
-27.2188, -59.9903, 80.7, 3.8
-25.2951, -58.7905, 35, 3.9
-143.7625, -56.5304, 10, 5.2
-27.3795, -56.202, 110.7, 3.5
-26.3007, -60.3844, 10, 4.2
-26.2151, -58.4454, 101.7, 4.3
-26.0787, -59.6129, 35, 4.1
-25.5176, -58.995, 57.4, 4
-25.9041, -59.2551, 38.2, 3.6
-26.7384, -59.7479, 45.7, 3.8
-25.9419, -57.7363, 86.5, 3.7
-25.7944, -59.0383, 40.6, 4.9
-25.4543, -57.9261, 61, 3.6
-27.2811, -56.1762, 125.7, 3.9
-25.3624, -57.9491, 59.4, 3.4
-25.8386, -56.561, 11.7, 5.6
-25.6181, -57.8391, 52.6, 3.4
-25.4634, -58.3085, 54.7, 4.2
-25.2227, -58.71, 23.4, 4.9
-25.4153, -57.3863, 46.4, 4.4
-25.6441, -58.9675, 52, 3.5
-25.8008, -56.3333, 44.7, 3.5
-28.0989, -56.067, 137.6, 4
-26.8095, -55.962, 103.2, 3.3
-26.5156, -59.728, 75, 3.5
-25.5908, -58.9338, 38.5, 3.9
-27.8863, -55.8002, 93.2, 4.2
-26.949, -56.1288, 91.1, 3.2
-26.1535, -58.6467, 91.7, 5.6
-26.4436, -59.579, 51.6, 4.5
-25.7219, -58.9759, 61.2, 4
